学校,年份,省份,科别,专业,最低分\位次,贡献者
天津理工大学,2019,北京,理工,管理科学与工程类,523,张致宁
天津理工大学,2018,北京,理工,管理科学与工程类,525,张致宁
天津理工大学,2017,北京,理工,管理科学与工程类,520,张致宁
天津理工大学,2019,北京,理工,机械类,522,张致宁
天津理工大学,2018,北京,理工,机械类,516,张致宁
天津理工大学,2017,北京,理工,机械类,516,张致宁
天津理工大学,2019,北京,理工,环境工程,521,张致宁
天津理工大学,2018,北京,理工,环境工程,518,张致宁
天津理工大学,2017,北京,理工,环境工程,519,张致宁
天津理工大学,2019,北京,理工,安全工程,521,张致宁
天津理工大学,2018,北京,理工,安全工程,519,张致宁
天津理工大学,2017,北京,理工,安全工程,517,张致宁
天津理工大学,2019,北京,理工,日语,527,张致宁
天津理工大学,2018,北京,理工,日语,516,张致宁
天津理工大学,2017,北京,理工,日语,515,张致宁
天津理工大学,2019,天津,理工,计算机科学与技术,558,张致宁
天津理工大学,2018,天津,理工,计算机科学与技术,573/9231,张致宁
天津理工大学,2017,天津,理工,计算机科学与技术,561,张致宁
天津理工大学,2019,天津,理工,信息安全,551,张致宁
天津理工大学,2018,天津,理工,信息安全,560/10885,张致宁
天津理工大学,2017,天津,理工,信息安全,550,张致宁
天津理工大学,2019,天津,理工,通信工程,536,张致宁
天津理工大学,2018,天津,理工,通信工程,533/14429,张致宁
天津理工大学,2017,天津,理工,通信工程,535,张致宁
天津理工大学,2019,天津,理工,电子信息工程,538,张致宁
天津理工大学,2018,天津,理工,电子信息工程,540/13487,张致宁
天津理工大学,2017,天津,理工,电子信息工程,538,张致宁
天津理工大学,2019,天津,理工,材料成型及控制工程,532,张致宁
天津理工大学,2018,天津,理工,材料成型及控制工程,512/17222,张致宁
天津理工大学,2017,天津,理工,材料成型及控制工程,510,张致宁
天津理工大学,2019,天津,理工,电气工程及其自动化,535,张致宁
天津理工大学,2018,天津,理工,电气工程及其自动化,537/13893,张致宁
天津理工大学,2017,天津,理工,电气工程及其自动化,538,张致宁
天津理工大学,2019,天津,理工,自动化,532,张致宁
天津理工大学,2018,天津,理工,自动化,527/15234,张致宁
天津理工大学,2017,天津,理工,自动化,530,张致宁
天津理工大学,2019,天津,理工,信息管理与信息系统,541,张致宁
天津理工大学,2018,天津,理工,信息管理与信息系统,542/13203,张致宁
天津理工大学,2017,天津,理工,信息管理与信息系统,536,张致宁
天津理工大学,2019,天津,理工,制药工程,532,张致宁
天津理工大学,2018,天津,理工,制药工程,517/16547,张致宁
天津理工大学,2017,天津,理工,制药工程,519,张致宁
天津理工大学,2019,天津,理工,机械电子工程,532,张致宁
天津理工大学,2018,天津,理工,机械电子工程,519/16281,张致宁
天津理工大学,2017,天津,理工,机械电子工程,525,张致宁
天津理工大学,2019,天津,理工,新能源材料与器件,540,张致宁
天津理工大学,2018,天津,理工,新能源材料与器件,526/15363,张致宁
天津理工大学,2017,天津,理工,新能源材料与器件,525,张致宁
天津理工大学,2019,天津,理工,数据科学与大数据技术,0,张致宁
